"","x"
"1","proszê o mr. young oraz moja niania jest wampirem"
"2","jaki serial dla fanki breaking bad i wilfreda ? ;]"
"3","dzieeeeeeeeeeeenks:)"
"4","Bd dziœ Pretty Litle Liars? "
"5","Kiedy bêd¹ nowe odcniki \Jak pozna³em wasz¹ matkê\"", \""Dr House\"", \""Koœci\"", i \""Chirurgów\""? """
"6","Kiedy bêd¹ nowe odcniki \Jak pozna³em wasz¹ matkê\"". \""Pretty Little Liars\"", \""Love Bites\"", \""Big bang theory\""? """
"7","no w³aœnie, dajcie ludzom ¿yæ!:-)"
"8","jest ju¿ po ang"
"9","PLL jest dzisiaj ale po ang :D"
"10","ja czekam na polski, i wiem bo obczai³em wczeœniej, ale dziêkujê ;)"
"11","juz widzialam :)"
"12","Kiedy bêd¹ napisy do PLL??"
"13","Kiedy beda nowe odcinki \Switched at Birth\"" ?"""
"14","czy ktos wie kiedy uka¿e siê druga seria TEEN WOLF"
"15","Zapewne oko³o czerwca ;)"
"16","bardzo proszê o napisy do The Lying Game C:"
"17","SprawdŸcie link do 8 sezonu One Tree Hill (Pogoda na mi³oœæ). ¯aden nie odtwarza filmu."
"18","Czekam na kolejne odcinki Supernatural, American Horror Story i New Girl, czemu taki zastój? Supernatural nie pojawia siê ju¿ od d³u¿szego czasu ogólnie, martwi mnie to :/ "
"19","Bo premiera kolejnego odcinka Supernatural jest 7 stycznia. Wiêc w niedziele nowy odcinek pewnie ju¿ bêdzie na iitv ;)"
"20","czemu nie dzia³a TVD? pisze, ¿e trzeba zaktualizowaæ konto... ?"
"21","dziêki, nie wiedzia³am. Jednak co z innymi serialami"
"22","u mnie tak samo ; /"
"23","ju¿ dzia³a :p"
"24","aha"
"25","a mnie nie :("
"26","ju¿ mam :)"
"27","mnie dzia³a bez problemu :D"
"28","no to super :)"
"29","tak, dzia³a. ju¿ obejrza³am ; )"
"30","mi nie dzia³a :(("
"31","ja próbowa³am na wszystkich, a dzia³a tylko na jednym odtwarzaczu i ³aduje siê chyba ju¿ godzinê! Nigdy nie by³o tak tragicznie jak teraz..."
"32","bo du¿e zainteresowanie nowym odcinkiem :d a ostanie minuty... mmmmmmm... :D"
"33","kiedy bêd¹ nowe odc 90210 ?"
"34"," Czy pojawi¹ siê kolejne odcinki The nine lives Chloe King???"
"35","skasowali po pierwszym sezonie"
"36","œci¹gnij z torentów, po co blokowaæ serwer"
"37","Mi nie dzia³a tylko Megavideo,jest bia³e,ale obejrzy³am na VideoBB i git :p Czekam na razie na kolejny pi¹tek i na kolejne gor¹ce sceny >:D"
"38","polecam serial persons unknown "
"39","Do wszystkich pytaj¹cych kiedy bêd¹ nowe odcinki serialu mam tak¹ radê. Na Filmwebie znajdujecie dany serial, wchodzicie w spis odcinków razem z datami. Odcinek na iitv z napisami bêdzie 2-3 dni po premierze w USA."
"40","kiedy bêd¹ nowe odcinki big time rush ??"
"41","Serial Felicity pilnie poszukiwany, zw³aszcza sezon trzeci i czwarty ... "
"42","omg Look now!  Stolen Video Justin Bieber "
"43","Po jakim czasie zazwyczaj pojawiaj¹ siê odcinki z napisami?"
"44","kiedy bêd¹ napisy do Switched at birth???"
"45","dziêki ;)"
"46","Mam takie pytanie: czemu po pojawieniu siê odcinka w wersji z lektorem znika wersja z napisami? Nie mo¿na by jej zostawiæ? Pytam, bo nie jestem w stanie ogl¹daæ starych odcinków moich ulubionych seriali z lektorem..."
"47","Kiedy beda napisy w odcinku Starry Night w serialu Switched at Birth  ?"
"48","Kiedy bêdzie 14 odcinek el barco? na oficjalnym fanpage el barco jest ju¿ pe³na wersja odcinka "
"49","te¿ czekam :)"
"50","Ale te odcinki z napisami znikaj¹. Np. ogl¹da³am rok temu 1 sezon The Good Wife z napisami - pamiêtam bardzo wyraŸnie - a teraz jest on tylko z lektorem (oprócz pierwszych 5 odcinków)."
"51","Kieeedy napisy do Black Mirror? Genialne to jest... "
"52","Czemu podczas ogl¹dania odcinków w megavideo co parê sek. zacina mi siê serial i wyœwietla jakaœ reklama i muszê przesuwaæ o parê sek. do przodu ¿eby ogl¹daæ dalej ?."
"53","Kiedy bêdzie nowy odcinek Glee.?"
"54","Ja siê pytam, gdzie s¹ moje seriale?! Gdzie jest Patrick Jane, gdzie jest dr Lightman? gdzie jest Fringe, pytam siê. Co oni w tej USA robi¹, hambugsy wpierdzielaj¹? dawaæ mi tu seriale! grrrr"
"55","YO Look now!  Stolen Video Justin Bieber and Selena Gomez."
"56","Zapytaj siê ludzi z Fox-a jakiœ Kretyn uzna³ ¿e rentownoœæ serialu jest za ma³a ... :("
