"date";"portal";"title";"position";"link"
2015-03-24;http://www.tvp.info/;Komorowski o zdjeciu  z Piotrem P.: panowie z PiS gleboko sie myla. „P. kontaktowal sie z... Lechem Kaczynskim”;2;http://www.tvp.info.pl/19373727/komorowski-o-zdjeciu-z-piotrem-p-panowie-z-pis-gleboko-sie-myla-p-kontaktowal-sie-z-lechem-kaczynskim
2015-03-24;http://www.tvp.info/;Tylko u nas   „Nie wykluczam, ze WSI lub inne sluzby chcialy inwigilowac prezydenta Kaczynskiego;2;http://www.tvp.info.pl/19372097/nie-wykluczam-ze-wsi-lub-inne-sluzby-chcialy-inwigilowac-prezydenta-kaczynskiego
2015-03-24;http://www.tvp.info/;Sondaz TNS Polska: Komorowski nadal liderem, Dudzie wciaz rosnie poparcie;2;http://www.tvp.info.pl/19371774/sondaz-tns-polska-komorowski-nadal-liderem-dudzie-wciaz-rosnie-poparcie
2015-03-24;http://www.wp.pl;Euro to wzrost cen? Duda straszy, ekonomista uspokaja;4;http://www.biztok.pl/waluty/po-przyjeciu-euro-ceny-w-polsce-moga-spasc_a20700
2015-03-24;http://www.wp.pl;Pawel Kukiz: padlem ofiara politycznej prowokacji;4;http://wiadomosci.wp.pl/kat,1342,title,Pawel-Kukiz-atakuje-mnie-niemiecka-gazeta,wid,17381630,wiadomosc.html
2015-03-24;http://www.wp.pl;Ranking najbogatszych prezydent�w w Europie. Komorowski w czol�wce!;3;http://www.money.pl/gospodarka/wiadomosci/artykul/wydatki-glow-panstw-ile-kosztuje-utrzymanie,247,0,1741303.html
2015-03-24;http://www.wp.pl;Ranking najbogatszych prezydent�w w Europie. Komorowski w czol�wce!;2;http://www.money.pl/gospodarka/wiadomosci/artykul/wydatki-glow-panstw-ile-kosztuje-utrzymanie,247,0,1741303.html
2015-03-24;http://www.wprost.pl/;Andrzej Duda postawił się po stronie pisowskiego oligarchy;2;http://www.wprost.pl/ar/499673/Andrzej-Duda-postawil-sie-po-stronie-pisowskiego-oligarchy/
2015-03-24;http://www.wprost.pl/;Duda musi udowadniać wyborcom, że jest naprawdę kandydatem PiS;2;http://www.wprost.pl/ar/499663/Duda-musi-udowadniac-wyborcom-ze-jest-naprawde-kandydatem-PiS/
2015-03-24;http://www.wprost.pl/;Kukiz złożył niemal 200 tys. podpisów w PKW;2;http://www.wprost.pl/ar/499670/Kukiz-zlozyl-niemal-200-tys-podpisow-w-PKW/
2015-03-24;http://www.wprost.pl/;Palikot: Ci, którzy mobilizują rezerwistów to zdrajcy Polski;2;http://www.wprost.pl/ar/499665/Palikot-Ci-ktorzy-mobilizuja-rezerwistow-to-zdrajcy-Polski/
2015-03-24;http://www.wprost.pl/;Najnowszy sondaż: Strata Komorowskiego, Duda na fali wznoszącej;2;http://www.wprost.pl/ar/499661/Najnowszy-sondaz-Strata-Komorowskiego-Duda-na-fali-wznoszacej/
2015-03-24;http://www.wprost.pl/;Duda musi udowadniać wyborcom, że jest naprawdę kandydatem PiS;1;http://www.wprost.pl/ar/499663/Duda-musi-udowadniac-wyborcom-ze-jest-naprawde-kandydatem-PiS/
2015-03-24;http://www.wprost.pl/;Komorowski: Tu ginęli żołnierze radzieccy. Nałęcz: Kto to kwestionuje, jest propagandystą;1;http://www.wprost.pl/ar/498752/Komorowski-Tu-gineli-zolnierze-radzieccy-Nalecz-Kto-to-kwestionuje-jest-propagandysta/
2015-03-24;http://www.wprost.pl/;Gdzie poszła kasa Palikota?;1;http://www.wprost.pl/ar/498397/Gdzie-poszla-kasa-Palikota/
2015-03-24;http://www.onet.pl/;"Andrzej Duda postawil sie po stronie oligarchy";2;http://wiadomosci.onet.pl/kraj/michal-kaminski-andrzej-duda-postawil-sie-po-stronie-oligarchy-z-pis-u/h34hcq
2015-03-24;http://www.newsweek.pl/;Najgorszy wynik Komorowskiego od poczatku kampanii;2;http://polska.newsweek.pl/sondaz-tns-najgorszy-wynik-komorowskiego-od-poczatku-kampanii,artykuly,359644,1.html
2015-03-24;http://www.newsweek.pl/;Duda straszy przed euro i otwiera  Bronko-Market;2;http://polska.newsweek.pl/bronko-market-andrzej-duda-kandydat-pis-straszy-przed-przyjeciem-euro,artykuly,359647,1.html
2015-03-24;http://www.newsweek.pl/;Polacy rozczarowani kandydatami na prezydenta;2;http://polska.newsweek.pl/sondaz-polacy-rozczarowani-kandydatami-na-prezydenta,artykuly,359656,1.html
2015-03-24;http://www.newsweek.pl/;Syn,Janukowycza,nie,zyje,Zalamal,sie,pod,nim,lód,na,Bajkale,W,Rosji,tragicznie,zginal,mlodszy,syn,obalonego,prezydenta,Ukrainy,Wiktora,Janukowycza,równiez,Wiktor,informuja,ukrainskie,media;1;http://swiat.newsweek.pl/nie-zyje-syn-wiktora-janukowycza-zalamal-sie-pod-nim-lod-newsweek-pl,artykuly,359597,1.html
2015-03-24;http://www.newsweek.pl/;Polska,szykuje,sie,do,wojny,Reuters,fotografuje,Strzelców,Swiat,coraz,czesciej,zwraca,uwage,na,obawy,Polaków,przed,Rosyjska,agresja,Agencja,Reuters,opublikowala,wlasnie,zdjecia,czlonków,Strzelca,którzy,szkola,sie,w,mazowieckich;1;http://swiat.newsweek.pl/cwiczenia-wojskowe-w-polsce-rezerwa-wojskowa-armia,galeria,359629,1.html
2015-03-24;http://www.tvn24.pl/;Duda postawil sie po stronie interesów pisowskiego oligarchy;3;http://www.tvn24.pl/duda-postawil-sie-po-stronie-interesow-pisowskiego-oligarchy,526977,s.html
2015-03-24;http://www.tvn24.pl/;Odtwórz:  Duda postawil sie po stronie interesów pisowskiego oligarchy;3;http://www.tvn24.pl/duda-postawil-sie-po-stronie-interesow-pisowskiego-oligarchy,526977,s.html#autoplay
2015-03-24;http://www.tvn24.pl/;Prezydent kontra oligarcha. Poroszenko: zadnych kieszonkowych armii;3;http://www.tvn24.pl/wojna-w-donbasie-poroszenko-gani-oligarche-kolomojskiego,526951,s.html
2015-03-24;http://www.tvn24.pl/;Duda mocno zyskuje, Komorowski nadal traci;3;http://www.tvn24.pl/wybory-prezydenckie-sondaz-tns-polska-marzec-2015,526900,s.html
2015-03-24;http://www.tvn24.pl/;Duda otwiera  Bronko-Market , Komorowski prezentuje spot z krzeslem;3;http://www.tvn24.pl/poniedzialek-z-kampania-prezydencka-bronko-market-dudy,526944,s.html
2015-03-24;http://www.tvn24.pl/;Odtwórz: Duda otwiera  Bronko-Market , Komorowski prezentuje spot z krzeslem;3;http://www.tvn24.pl/poniedzialek-z-kampania-prezydencka-bronko-market-dudy,526944,s.html#autoplay
2015-03-24;http://www.tvn24.pl/;Duda postawil sie po stronie interesów pisowskiego oligarchy;2;http://www.tvn24.pl/duda-postawil-sie-po-stronie-interesow-pisowskiego-oligarchy,526977,s.html
2015-03-24;http://www.tvn24.pl/;Prezydent kontra oligarcha. Poroszenko: zadnych kieszonkowych armii;2;http://www.tvn24.pl/prezydent-kontra-oligarcha-poroszenko-zadnych-kieszonkowych-armii,526951,s.html
2015-03-24;http://www.tvn24.pl/;Duda mocno zyskuje, Komorowski nadal traci;2;http://www.tvn24.pl/duda-mocno-zyskuje-komorowski-nadal-traci,526900,s.html
2015-03-24;http://www.tvn24.pl/;Duda otwiera  Bronko-Market , Komorowski prezentuje spot z krzeslem;2;http://www.tvn24.pl/duda-otwiera-bronko-market-komorowski-prezentuje-spot-z-krzeslem,526944,s.html
2015-03-24;http://www.tvn24.pl/;Odtwórz:  Duda postawil sie po stronie interesów pisowskiego oligarchy;1;http://www.tvn24.pl/duda-postawil-sie-po-stronie-interesow-pisowskiego-oligarchy,526977,s.html#autoplay
2015-03-24;http://www.tvn24.pl/;Prezydent kontra oligarcha. Poroszenko: zadnych kieszonkowych armii;1;http://www.tvn24.pl/wojna-w-donbasie-poroszenko-gani-oligarche-kolomojskiego,526951,s.html
2015-03-24;http://www.tvn24.pl/;Duda mocno zyskuje, Komorowski nadal traci;1;http://www.tvn24.pl/wybory-prezydenckie-sondaz-tns-polska-marzec-2015,526900,s.html
