date;portal;title;position;link
2015-03-25;http://www.wp.pl;4 min.Nielegalne finansowanie kampanii Dutkiewicza?;2;http://wiadomosci.wp.pl/kat,1342,title,Akt-oskarzenia-ws-kampanii-komitetu-pod-patronatem-Rafala-Dutkiewicza,wid,17389521,wiadomosc.html
2015-03-25;http://www.wp.pl;wazneBalcerowicz nie zostawia suchej nitki na Dudzie.  Wciskaja nam kit;2;http://finanse.wp.pl/kat,1033787,title,Balcerowicz-Wciskaja-nam-kit,wid,17388424,wiadomosc.html
2015-03-25;http://www.wp.pl;1 godz.Kiedy przyjmiemy euro? Komorowski odpowiada;2;http://www.money.pl/gospodarka/wiadomosci/artykul/polska-w-strefie-euro-nie-ma-na-razie,184,0,1745080.html
2015-03-25;http://www.wp.pl;Łukasz Warzecha dla WP: ja chcę do Polski Racjonalnej. Tylko proszę najpierw o wyjaśnienie;1;/kat,140394,title,Lukasz-Warzecha-dla-WP-ja-chce-do-Polski-Racjonalnej-Tylko-prosze-najpierw-o-wyjasnienie,wid,17388987,wiadomosc.html
2015-03-25;http://www.wp.pl;Jan Rostowski: Polska nie wejdzie do strefy euro w przyszłej kadencji;1;/kat,140394,title,Jan-Rostowski-Polska-nie-wejdzie-do-strefy-euro-w-przyszlej-kadencji,wid,17388261,wiadomosc.html
2015-03-25;http://www.wprost.pl/;Duda straszy drożyzną po wprowadzeniu euro. Ekonomiści: Działanie propagandowe;4;http://www.wprost.pl/ar/499867/Duda-straszy-drozyzna-po-wprowadzeniu-euro-Ekonomisci-Dzialanie-propagandowe/
2015-03-25;http://www.wprost.pl/;Komorowski spotkał się z żołnierzami.  Czujemy bezpieczeństwo dzięki...;2;http://www.wprost.pl/ar/500018/Komorowski-spotkal-sie-z-zolnierzami-Czujemy-bezpieczenstwo-dzieki/
2015-03-25;http://www.wprost.pl/;Komorowski: Likwidacja WSI to zbrodnia i hańba;2;http://www.wprost.pl/ar/500012/Komorowski-Likwidacja-WSI-to-zbrodnia-i-hanba/
2015-03-25;http://www.wprost.pl/;Duda straszy drożyzną po wprowadzeniu euro. Ekonomiści: Działanie propagandowe;1;http://www.wprost.pl/ar/499867/Duda-straszy-drozyzna-po-wprowadzeniu-euro-Ekonomisci-Dzialanie-propagandowe/
2015-03-25;http://www.wprost.pl/;SLD oddaje wybory walkowerem;1;http://www.wprost.pl/ar/499809/SLD-oddaje-wybory-walkowerem/
2015-03-25;http://www.wprost.pl/;Duda musi udowadniać wyborcom, że jest naprawdę kandydatem PiS;1;http://www.wprost.pl/ar/499663/Duda-musi-udowadniac-wyborcom-ze-jest-naprawde-kandydatem-PiS/
