text;favorited;favoriteCount;replyToSN;created;truncated;replyToSID;id;replyToUID;statusSource;screenName;retweetCount;isRetweet;retweeted;longitude;latitude;lastname
Mniej obiecywac, wiecej pracowac.  https://t.co/hnjcIGQLBS;FALSE;7;NA;2015-03-15 19:30;FALSE;NA;5,77E+17;NA;"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>";Komorowski;1;FALSE;FALSE;NA;NA;Komorowski
Grochowy, Polska - film dla malkontentów.  https://t.co/Aq0dTXqDY0;FALSE;7;NA;2015-03-15 15:15;FALSE;NA;5,77E+17;NA;"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>";Komorowski;5;FALSE;FALSE;NA;NA;Komorowski
Z wolontariuszkami i mieszkancami Klodawy #popieramKomorowskiego http://t.co/aIrYel2tmD http://t.co/z3lBpfyT7N;FALSE;0;NA;2015-03-15 12:53;FALSE;NA;5,77E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Komorowski;1;FALSE;FALSE;NA;NA;Komorowski
Wspólne zdjecia, podpisy,przyjemnosc spotkania z mieszkancami :) #popieramKomorowskiego http://t.co/R6qqZW0EAK;FALSE;3;NA;2015-03-15 12:15;FALSE;NA;5,77E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Komorowski;1;FALSE;FALSE;NA;NA;Komorowski
W Klodawie #popieramKomorowskiego http://t.co/ec1lA8kbUj;FALSE;2;NA;2015-03-15 12:04;FALSE;NA;5,77E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Komorowski;1;FALSE;FALSE;NA;NA;Komorowski
Zachecam, aby wierzyc w Polske zgody i bezpieczenstwa.;FALSE;4;NA;2015-03-15 11:42;FALSE;NA;5,77E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Komorowski;4;FALSE;FALSE;NA;NA;Komorowski
W najblizszym tygodniu przedstawie wazny dla rodzin projekt, aby latwiej bylo laczyc prace zawodowa z rodzicielswtem.;FALSE;3;NA;2015-03-15 11:41;FALSE;NA;5,77E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Komorowski;2;FALSE;FALSE;NA;NA;Komorowski
Nastawiam sie na prace, a nie na obietnice bez pokrycia. Ja przedstawiam realny plan pracy prezydenta.;FALSE;7;NA;2015-03-15 11:39;FALSE;NA;5,77E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Komorowski;7;FALSE;FALSE;NA;NA;Komorowski
Trzeba bronic dorobku 25 lat naszej wolnosci - byc z niego dumnym i czerpac inspiracje na przyszlosc.;FALSE;73;NA;2015-03-15 11:37;FALSE;NA;5,77E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Komorowski;129;FALSE;FALSE;NA;NA;Komorowski
Polski samorzad jest zródlem polskiego sukcesu.;FALSE;3;NA;2015-03-15 11:35;FALSE;NA;5,77E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Komorowski;2;FALSE;FALSE;NA;NA;Komorowski
Spotkanie w Klodawie #popieramKomorowskiego http://t.co/4YmgQaD6Ei;FALSE;0;NA;2015-03-15 11:34;FALSE;NA;5,77E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Komorowski;2;FALSE;FALSE;NA;NA;Komorowski
Pocalowac Prezydenta :) https://t.co/ce1oti4Pvq;FALSE;3;NA;2015-03-15 11:01;FALSE;NA;5,77E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Komorowski;1;FALSE;FALSE;NA;NA;Komorowski
Dzien zaczynamy sniadaniem w Rudej u Panstwa Mazurków :) http://t.co/nb701u5q8a;FALSE;10;NA;2015-03-15 09:49;FALSE;NA;5,77E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Komorowski;6;FALSE;FALSE;NA;NA;Komorowski
Videoblog prosto z pokladu Bronkobusa :) https://t.co/RCocwS5QAj #popieramKomorowskiego;FALSE;6;NA;2015-03-14 19:41;FALSE;NA;5,77E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Komorowski;3;FALSE;FALSE;NA;NA;Komorowski
Z wolontariuszkami w Czarnkowie :) #popieramKomorowskiego http://t.co/jozZptP3yw;FALSE;4;NA;2015-03-14 17:48;FALSE;NA;5,77E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Komorowski;3;FALSE;FALSE;NA;NA;Komorowski
Spotkanie z mieszkancami Czarnkowa #popieramKomorowskiego http://t.co/7JBEj4KNKX;FALSE;5;NA;2015-03-14 17:43;FALSE;NA;5,77E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Komorowski;3;FALSE;FALSE;NA;NA;Komorowski
Na pl. Wolnosci w Czarnkowie #popieramKomorowskiego http://t.co/PPvWT9d3xb;FALSE;8;NA;2015-03-14 17:37;FALSE;NA;5,77E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Komorowski;4;FALSE;FALSE;NA;NA;Komorowski
Na rynku w Czarnkowie tlum mimo deszczu :) #popieramKomorowskiego http://t.co/nSSw0tmJ72;FALSE;8;NA;2015-03-14 17:29;FALSE;NA;5,77E+17;NA;"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>";Komorowski;4;FALSE;FALSE;NA;NA;Komorowski
