"text";"favorited";"favoriteCount";"replyToSN";"created";"truncated";"replyToSID";"id";"replyToUID";"statusSource";"screenName";"retweetCount";"isRetweet";"retweeted";"longitude";"latitude";"lastname"
"Wyslalem do Sejmu projekt zmian w Kodeksie wyborczym. Licze, ze wejda w zycie przed wyborami parlamentarnymi.";FALSE;4;NA;2015-04-02 17:51:12;FALSE;NA;583688142324129792;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;3;FALSE;FALSE;NA;NA;"Komorowski"
"Wiadomo juz jak wygladac beda obchody rocznicy zakonczenia II wojny swiatowej w Polsce i kto sie na nich stawi. Odbeda sie 7 i 8 maja.";FALSE;4;NA;2015-04-02 17:46:26;FALSE;NA;583686944787402752;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;3;FALSE;FALSE;NA;NA;"Komorowski"
"Zasada rozstrzygania watpliwosci na korzysc podatnika powinna stac sie podstawa systemu podatkowego.";FALSE;10;NA;2015-04-02 17:40:34;FALSE;NA;583685468530876416;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;8;FALSE;FALSE;NA;NA;"Komorowski"
"Ksztaltowanie sie nowej instytucji dialogu spolecznego pokazuje, ze dialog znów zwycieza.";FALSE;2;NA;2015-04-02 17:37:01;FALSE;NA;583684573546053632;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;3;FALSE;FALSE;NA;NA;"Komorowski"
"Dzis nie ma zadnych regulacji odnosnie in vitro. Wazne, aby wprowadzajac je uwzglednic rózne wrazliwosci.";FALSE;3;NA;2015-04-02 17:33:19;FALSE;NA;583683643702411264;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;1;FALSE;FALSE;NA;NA;"Komorowski"
"Prezydent nie moze byc prezydentem sumien.";FALSE;10;NA;2015-04-02 17:31:26;FALSE;NA;583683170261950464;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;8;FALSE;FALSE;NA;NA;"Komorowski"
"O 19:25 bede gosciem @faktypofaktach. Zapraszam. http://t.co/A3jnkNLYNp";FALSE;6;NA;2015-04-02 16:55:31;FALSE;NA;583674129288683522;NA;<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>;Komorowski;4;FALSE;FALSE;NA;NA;"Komorowski"
"@PrzemekTaranek Dziekuje i pozdrawiam:-) Zycze spokojnych i radosnych Swiat!";FALSE;0;PrzemekTaranek;2015-04-02 19:04:02;FALSE;583510110955298817;583706472359538688;2923675863;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;0;FALSE;FALSE;NA;NA;"Duda"
"@DawidGospodarek Odszkodowania powinien placic ten, kto wywolal wojne. To nie my ja wywolalismy, wiec o czym w ogóle mowa.";FALSE;1;DawidGospodarek;2015-04-02 18:33:31;FALSE;583696100428795904;583698791670358017;481166011;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;0;FALSE;FALSE;NA;NA;"Duda"
"Memento! http://t.co/vYs0suZJqL";FALSE;30;NA;2015-04-02 15:56:41;FALSE;NA;583659324502839296;NA;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;22;FALSE;FALSE;NA;NA;"Duda"
"@Pearljam6MM Nie. Publicznie przeprosilem tych Studentów, którzy ewentualnie odczuli dyskomfort. OK?";FALSE;1;Pearljam6MM;2015-04-02 15:19:06;FALSE;583648825614725121;583649866414424064;2850304133;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;0;FALSE;FALSE;NA;NA;"Duda"
"@Pearljam6MM @LeszekMiller @LejmanPawel I dlatego przeprosilem wczoraj. OK?";FALSE;0;Pearljam6MM;2015-04-02 15:08:48;FALSE;583645256211681280;583647274653392898;2850304133;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;0;FALSE;FALSE;NA;NA;"Duda"
"@MariuszGierej @agielewska @robertzielinski @maciejdudared I nie beda mogli pieprzyc ;-)))";FALSE;19;MariuszGierej;2015-04-02 14:38:32;FALSE;583639344470224896;583639658711666688;518863383;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;6;FALSE;FALSE;NA;NA;"Duda"
"@hdmortimer Takim Go zapamietalem z 2005 roku.";FALSE;2;hdmortimer;2015-04-02 14:31:35;FALSE;583637457381548032;583637907367448576;2232876144;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;0;FALSE;FALSE;NA;NA;"Duda"
"Red. Kolanko: Wadowice ostatnim przystankiem Dudy przed Wielkanoca, powrót kampanii we wtorek | News | 300polityka http://t.co/r3VLXPL6IO";FALSE;11;NA;2015-04-02 14:28:24;FALSE;NA;583637108914577408;NA;<a href="http://www.apple.com" rel="nofollow">iOS</a>;AndrzejDuda;6;FALSE;FALSE;NA;NA;"Duda"
"@SmithBober Wzajemnie! :-)";FALSE;0;SmithBober;2015-04-02 14:26:53;FALSE;583635287449989120;583636727157358592;1681360915;<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>;AndrzejDuda;0;FALSE;FALSE;NA;NA;"Duda"
"@Jaroslaw_Gowin @marek_podolski @hdmortimer @ChrisForger Ktos posluchal, stad afery zegarkowe;-)))";FALSE;5;Jaroslaw_Gowin;2015-04-02 14:15:24;FALSE;583633583757250560;583633835092480000;580682368;<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>;AndrzejDuda;1;FALSE;FALSE;NA;NA;"Duda"
