"TvPInfo";"WpPl";"WprostPl";"OnetPl";"NewsweekPl";"Tvn24Pl";"NatematPl";"GazetaPl";"DziennikPl";"WyborczaPl";"date";"surname"
0;0.6;0.375;0.5;0.2667;0.0755;0.25;0.2;0;0.3333;2015-03-16;komorowski
0.5;0.2;0.25;0.1;0.4667;0.3019;0.2917;0.4;0.6667;0.3333;2015-03-16;duda
0;0;0;0;0;0;0;0;0;0;2015-03-16;ogorek
0.25;0.2;0.125;0.4;0.0667;0.0755;0.0417;0.2;0;0;2015-03-16;korwin
0;0;0;0;0;0;0.125;0.4;0;0.6667;2015-03-16;kukiz
0;0;0;0;0;0;0.0417;0;0;0;2015-03-16;jarubas
0;0;0.125;0;0;0.0566;0;0;0;0.3333;2015-03-16;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-16;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-16;braun
0;0;0;0;0;0;0;0;0;0;2015-03-16;tanajno
0;0.1818;0.4762;0.25;0;0.2273;0.2083;0.3333;0.1111;0.5;2015-03-17;komorowski
0.3333;0.5455;0.1429;0;0.4167;0.3182;0.2917;0.3333;0.5556;0.5;2015-03-17;duda
0;0;0;0;0;0;0.0833;0;0;0;2015-03-17;ogorek
0.1667;0.0909;0.1429;0.5;0.1667;0.0455;0.0417;0;0;0;2015-03-17;korwin
0;0.2727;0.0476;0.25;0;0.0227;0.1667;0;0;0.5;2015-03-17;kukiz
0;0;0;0;0;0;0;0;0;0;2015-03-17;jarubas
0;0;0.0476;0;0;0.0682;0;0.1667;0;0;2015-03-17;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-17;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-17;braun
0;0;0;0;0;0;0;0;0;0;2015-03-17;tanajno
0.2;0;0.5;0.2857;0;0.6;0;0.25;0.4286;0;2015-03-18;komorowski
0;0.2;0.2;0;0.2222;0.25;0.1111;0.5;0.4286;0;2015-03-18;duda
0;0.2;0;0;0;0;0;0;0;0;2015-03-18;ogorek
0;0;0;0.1429;0;0;0.1111;0;0;0;2015-03-18;korwin
0;0.4;0;0.1429;0;0;0;0;0;0;2015-03-18;kukiz
0;0;0.1;0;0;0;0;0;0;0;2015-03-18;jarubas
0;0;0.2;0;0;0;0;0;0;0;2015-03-18;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-18;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-18;braun
0;0;0;0;0;0;0;0;0;0;2015-03-18;tanajno
0.5;0;0.6;0.3333;0.1667;0.3;0;0.3333;0.5;0.5;2015-03-19;komorowski
0;0;0.2;0;0.1667;0.3;0;0.3333;0;0;2015-03-19;duda
0;0;0;0;0;0;0.2143;0;0;0.5;2015-03-19;ogorek
0;0;0;0;0;0;0.1429;0.3333;0;0;2015-03-19;korwin
0;0.5;0;0;0.1667;0.3;0.0714;0;0;0;2015-03-19;kukiz
0;0;0;0;0;0;0;0;0;0;2015-03-19;jarubas
0;0;0.2;0;0;0;0;0;0;0;2015-03-19;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-19;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-19;braun
0;0;0;0;0;0;0;0;0;0;2015-03-19;tanajno
0;0.2222;0.25;0.0833;0.6667;0.3571;0.0909;0.4286;0.6667;0.3333;2015-03-20;komorowski
0;0.2222;0;0.25;0.3333;0.2143;0.1364;0.4286;0;0.6667;2015-03-20;duda
0;0;0;0;0;0;0.1364;0;0;0;2015-03-20;ogorek
0;0.1111;0;0.1667;0;0;0.0909;0;0;0;2015-03-20;korwin
0.2;0;0.25;0;0.3333;0;0.0909;0;0;0;2015-03-20;kukiz
0.2;0;0.125;0;0;0;0;0;0;0;2015-03-20;jarubas
0;0;0.125;0;0;0;0;0;0;0;2015-03-20;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-20;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-20;braun
0;0;0;0;0;0;0;0;0;0;2015-03-20;tanajno
0;0.2222;0.375;0.1429;0.6667;0.4737;0.2857;0;0.6;0.25;2015-03-21;komorowski
0;0.2222;0;0.2857;0.3333;0.2105;0.1786;0.2857;0.2;0.75;2015-03-21;duda
0;0;0;0.2857;0;0.3158;0.1071;0.1429;0;0;2015-03-21;ogorek
0;0;0;0.1429;0;0.0526;0.1786;0.1429;0;0;2015-03-21;korwin
0;0.1111;0.25;0;0.3333;0;0.0714;0;0;0;2015-03-21;kukiz
0.25;0;0.25;0;0;0;0;0;0;0;2015-03-21;jarubas
0;0;0.125;0;0.3333;0;0.1071;0.1429;0;0;2015-03-21;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-21;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-21;braun
0;0;0;0;0;0;0;0;0;0;2015-03-21;tanajno
0;0.3333;0.5455;0.1429;0;0.5152;0.3438;0.125;0.1818;0.3333;2015-03-22;komorowski
0.25;0.3333;0.0909;0;0;0;0.1875;0;0.0909;0.1667;2015-03-22;duda
0;0;0;0.1429;0;0;0.0938;0;0;0;2015-03-22;ogorek
0.25;0;0;0;0;0;0.2188;0;0;0;2015-03-22;korwin
0;0;0;0;0;0;0.0938;0.125;0;0.1667;2015-03-22;kukiz
0;0;0.0909;0;0;0;0;0;0;0;2015-03-22;jarubas
0;0;0.0909;0;1;0;0.0625;0;0;0;2015-03-22;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-22;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-22;braun
0;0;0;0;0;0;0;0;0;0;2015-03-22;tanajno
0.2222;0.3571;0.2778;0.1667;0.1667;0.1176;0.1935;0.4545;0.2;0.3333;2015-03-23;komorowski
0.3333;0.2143;0.3333;0.25;0.3333;0.2549;0.2258;0.6364;0;0.1667;2015-03-23;duda
0;0.2143;0;0;0;0;0.0968;0;0;0;2015-03-23;ogorek
0;0;0.0556;0.0833;0;0;0.0645;0.0909;0.2;0.0833;2015-03-23;korwin
0.2222;0.2143;0.1111;0.1667;0;0.0784;0.0968;0.0909;0;0;2015-03-23;kukiz
0;0;0.0556;0;0;0;0;0;0;0;2015-03-23;jarubas
0;0.0714;0.1111;0.0833;0.0833;0;0.0323;0.0909;0;0.0833;2015-03-23;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-23;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-23;braun
0;0;0;0;0;0;0;0;0;0;2015-03-23;tanajno
0.4;0.5;0.3571;0;0.1667;0.3182;0.1579;0.4286;0;0.1429;2015-03-24;komorowski
0.4;0.375;0.2857;0.3333;0.1667;0.5455;0.3158;0.7143;0.3333;0.1429;2015-03-24;duda
0;0;0;0;0.1667;0;0;0;0;0;2015-03-24;ogorek
0;0;0;0;0;0;0.0526;0;0;0;2015-03-24;korwin
0;0.125;0.0714;0;0;0;0.1053;0;0;0;2015-03-24;kukiz
0;0;0;0;0;0;0;0;0;0.1429;2015-03-24;jarubas
0;0;0.1429;0;0;0;0;0;0;0;2015-03-24;palikot
0;0;0;0;0;0;0;0;0;0;2015-03-24;wilk
0;0;0;0;0;0;0;0;0;0;2015-03-24;braun
0;0;0;0;0;0;0;0;0;0;2015-03-24;tanajno
0;0.1667;0.2308;0.2222;0.1667;0.1515;0.3846;0.3333;0.3636;0.6;2015-03-25;komorowski
