"","nazwa","x","y"
"cnk02a","cnk02a",57,113
"cnk02b","cnk02b",57,133
"cnk03","cnk03",57,53
"cnk05","cnk05",78,122
"cnk06","cnk06",47,158
"cnk07","cnk07",100,55
"cnk09","cnk09",172,110
"cnk10","cnk10",113,120
"cnk100","cnk100",62.5,140
"cnk11","cnk11",214,131
"cnk12","cnk12",229,85
"cnk13","cnk13",120,27
"cnk16","cnk16",207,89
"cnk17","cnk17",130,55
"cnk18","cnk18",334,96
"cnk19a","cnk19a",104,153
"cnk19b","cnk19b",180,153
"cnk20","cnk20",250,115
"cnk21","cnk21",264,57
"cnk22","cnk22",497,172
"cnk23","cnk23",461,101
"cnk24","cnk24",387,171
"cnk25","cnk25",464,129
"cnk26","cnk26",550,139
"cnk29a","cnk29a",498,109
"cnk32","cnk32",516,409
"cnk36","cnk36",448,557
"cnk37","cnk37",335,269
"cnk38","cnk38",335,304
"cnk39","cnk39",550,200
"cnk40","cnk40",368,327
"cnk42a","cnk42a",448,627
"cnk43","cnk43",489,517
"cnk44","cnk44",516,636
"cnk45","cnk45",354,573
"cnk46a","cnk46a",259,526
"cnk46b","cnk46b",264,536
"cnk47","cnk47",256,550
"cnk48a","cnk48a",335,339
"cnk49","cnk49",477,201
"cnk54","cnk54",486,438
"cnk55","cnk55",488,378
"cnk56","cnk56",382,428
"cnk57","cnk57",450,433
"cnk58b","cnk58b",514,343
"cnk59","cnk59",449,468
"cnk60","cnk60",638,221
"cnk61","cnk61",644,51
"cnk62","cnk62",550,48
"cnk63a","cnk63a",243,190
"cnk66","cnk66",195,29
"cnk67","cnk67",59,90
"cnk69","cnk69",484,258
"cnk71","cnk71",514,564
"cnk72","cnk72",520,199
"cnk73","cnk73",448,572
"cnk75","cnk75",290,580
"cnk78a","cnk78a",430,148
"cnk79","cnk79",480.5,229.5
