"","month","day","begin_time","visitor_id","session_id","is_active","index","end_time"
"42","Apr","2","11:03:08","1771574","9106074",TRUE,42,"11:05:14"
"49","Apr","2","11:06:34","1771574","9106110",TRUE,49,"11:08:19"
"69","Apr","2","11:14:25","1771455","9106183",TRUE,69,"11:19:52"
"78","Apr","2","11:23:29","1771365","9106242",TRUE,78,"11:25:01"
"104","Apr","2","11:26:11","1771362","9106280",TRUE,104,"11:29:41"
"118","Apr","2","11:34:07","1771554","9106363",TRUE,118,"11:36:53"
"142","Apr","2","11:38:41","1771569","9106391",TRUE,142,"11:39:03"
"149","Apr","2","11:40:23","1771580","9106407",TRUE,149,"11:40:33"
"156","Apr","2","11:54:56","1771562","9106578",TRUE,156,"11:58:12"
"165","Apr","2","12:06:15","1771811","9106741",TRUE,165,"12:07:01"
"172","Apr","2","12:10:14","1771676","9106812",TRUE,172,"12:11:33"
"180","Apr","2","12:38:22","1771943","9107187",TRUE,180,"12:44:24"
"188","Apr","2","12:44:45","1771904","9107281",TRUE,188,"12:45:46"
"196","Apr","2","12:48:46","1771863","9107329",FALSE,196,"12:48:46"
"198","Apr","2","12:48:49","1771863","9107332",TRUE,198,"12:50:06"
"206","Apr","2","12:50:08","1771863","9107346",TRUE,206,"12:50:59"
"214","Apr","2","13:11:56","1771984","9107656",TRUE,214,"13:13:00"
"221","Apr","2","13:13:41","1772004","9107682",TRUE,221,"13:15:58"
"228","Apr","2","13:16:45","1771992","9107729",TRUE,228,"13:19:59"
"239","Apr","2","13:20:08","1771760","9107776",TRUE,239,"13:21:18"
"249","Apr","2","13:39:48","1771743","9108095",TRUE,249,"13:40:45"
"257","Apr","2","13:42:02","1772065","9108144",TRUE,257,"13:44:22"
"264","Apr","2","14:10:25","1771797","9108626",TRUE,264,"14:11:32"
"271","Apr","2","14:12:49","1771797","9108694",TRUE,271,"14:14:14"
"293","Apr","2","14:14:16","1772114","9108734",TRUE,293,"14:16:12"
"318","Apr","2","14:16:20","1771578","9108774",TRUE,318,"14:18:48"
"338","Apr","2","14:19:21","1771577","9108833",TRUE,338,"14:21:10"
"345","Apr","2","14:22:33","1772139","9108905",TRUE,345,"14:23:47"
"352","Apr","2","14:29:24","1772096","9109029",TRUE,352,"14:30:38"
"359","Apr","2","14:41:00","1772037","9109259",TRUE,359,"14:44:03"
"380","Apr","2","14:47:56","1772301","9109426",TRUE,380,"14:48:52"
"387","Apr","2","14:57:39","1772339","9109641",TRUE,387,"14:59:55"
"411","Apr","2","15:00:51","1772316","9109723",TRUE,411,"15:01:21"
"418","Apr","2","15:01:24","1772316","9109737",TRUE,418,"15:02:24"
"425","Apr","2","15:07:39","1772330","9109887",TRUE,425,"15:10:23"
"446","Apr","2","15:14:35","1771517","9110064",TRUE,446,"15:18:43"
"470","Apr","2","15:38:16","1772326","9110502",TRUE,470,"15:40:26"
"478","Apr","2","15:42:12","1772472","9110571",TRUE,478,"15:47:47"
"504","Apr","2","15:47:51","1772252","9110681",TRUE,504,"15:50:47"
"511","Apr","2","15:52:50","1772490","9110772",TRUE,511,"15:53:43"
"518","Apr","2","15:56:03","1772487","9110837",TRUE,518,"15:57:04"
"526","Apr","2","15:59:35","1772558","9110898",TRUE,526,"16:01:05"
"533","Apr","2","16:03:00","1772550","9110951",TRUE,533,"16:07:11"
"538","Apr","2","16:17:10","1772185","9111238",TRUE,538,"16:19:36"
"567","Apr","2","16:19:46","1772185","9111289",TRUE,567,"16:21:22"
"589","Apr","2","16:21:34","1772185","9111319",TRUE,589,"16:22:57"
"609","Apr","2","16:23:24","1772357","9111361",TRUE,609,"16:25:56"
"619","Apr","2","16:26:44","1772495","9111428",TRUE,619,"16:26:50"
"629","Apr","2","16:26:54","1772495","9111434",TRUE,629,"16:27:58"
"636","Apr","2","16:34:31","1772285","9111579",TRUE,636,"16:38:49"
"659","Apr","2","16:42:44","1772601","9111699",TRUE,659,"16:44:41"
"684","Apr","2","16:57:55","1772604","9111912",TRUE,684,"17:00:06"
"708","Apr","2","17:14:26","1771819","9112107",TRUE,708,"17:18:09"
"728","Apr","2","17:18:16","1771827","9112167",TRUE,728,"17:20:30"
"752","Apr","2","17:26:15","1772669","9112241",TRUE,752,"17:28:18"
"765","Apr","2","17:37:18","1772502","9112317",TRUE,765,"17:38:01"
"814","Apr","3","09:34:12","1772796","9112707",TRUE,814,"09:35:11"
"822","Apr","3","09:42:37","1772899","9112813",TRUE,822,"09:43:34"
"829","Apr","3","10:03:11","1772943","9113039",TRUE,829,"10:03:23"
"836","Apr","3","10:04:45","1773016","9113059",TRUE,836,"10:06:26"
"843","Apr","3","10:07:08","1773021","9113098",TRUE,843,"10:07:48"
"850","Apr","3","10:18:15","1773049","9113287",TRUE,850,"10:18:54"
"857","Apr","3","10:20:55","1772881","9113326",TRUE,857,"10:22:12"
"864","Apr","3","10:26:27","1772989","9113423",TRUE,864,"10:28:39"
"869","Apr","3","10:33:35","1772964","9113542",TRUE,869,"10:36:08"
"877","Apr","3","10:36:09","1772969","9113578",TRUE,877,"10:37:02"
"884","Apr","3","10:49:48","1773032","9113799",TRUE,884,"10:51:05"
"891","Apr","3","10:56:03","1773206","9113936",TRUE,891,"10:58:01"
"913","Apr","3","10:59:23","1773010","9114015",TRUE,913,"11:01:14"
"921","Apr","3","11:01:27","1772952","9114065",TRUE,921,"11:01:43"
"928","Apr","3","11:03:51","1773070","9114132",TRUE,928,"11:04:22"
"935","Apr","3","11:09:49","1773304","9114291",TRUE,935,"11:10:31"
"943","Apr","3","11:11:47","1773143","9114329",TRUE,943,"11:13:03"
"950","Apr","3","11:13:33","1773359","9114358",TRUE,950,"11:14:03"
"984","Apr","3","11:16:08","1773303","9114406",TRUE,984,"11:16:35"
"991","Apr","3","11:17:02","1773328","9114428",TRUE,991,"11:17:28"
"998","Apr","3","11:17:57","1773328","9114449",TRUE,998,"11:18:25"
"1005","Apr","3","11:18:26","1773339","9114463",TRUE,1005,"11:20:19"
"1015","Apr","3","11:22:42","1773313","9114551",TRUE,1015,"11:23:13"
"1025","Apr","3","11:28:53","1773460","9114674",TRUE,1025,"11:29:23"
"1032","Apr","3","11:30:16","1773047","9114699",TRUE,1032,"11:31:13"
"1039","Apr","3","11:31:16","1773054","9114719",TRUE,1039,"11:32:18"
"1046","Apr","3","11:38:56","1772892","9114901",TRUE,1046,"11:41:53"
"1069","Apr","3","11:44:03","1772890","9115036",TRUE,1069,"11:47:01"
"1082","Apr","3","11:49:26","1773465","9115167",TRUE,1082,"11:50:44"
"1090","Apr","3","11:51:30","1773572","9115209",TRUE,1090,"11:52:18"
"1097","Apr","3","11:52:24","1773189","9115228",TRUE,1097,"11:53:01"
"1105","Apr","3","11:53:42","1773591","9115258",TRUE,1105,"11:54:07"
"1112","Apr","3","11:55:28","1773550","9115301",TRUE,1112,"11:56:45"
"1120","Apr","3","12:09:17","1773078","9115644",TRUE,1120,"12:10:53"
